Container;Cobol source;Java Source;cpuTime (Cobol);clockTime (Cobol);cpuTime (Java);clockTime (Java);
../amazon-cobol/app/cbl;exec_TESTBR.cob;Testbr.java;1,49;1,63;0,38;1,63;
total;;;1,49;1,63;0,38;1,63;
